C1,C2,C3
S7247,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7248,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7250,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7251,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7252,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7253,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7254,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7255,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7256,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(LLY US Equity:PX_LAST, NVDA US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7257,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7258,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7259,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7260,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7261,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7262,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7263,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7265,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7266,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7267,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7268,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7269,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7270,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7271,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7272,"When corr(CONSSENT Index:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7273,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7274,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7275,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7276,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7277,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7278,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7279,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7280,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7281,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7282,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7283,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7284,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7285,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7286,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7287,"When zscore_corr(20d)(LLY US Equity:PX_LAST, NVDA US Equity:PX_LAST, 60d) surges unexpectedly and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7288,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7289,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7290,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7291,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7292,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7293,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7294,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7295,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7296,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7297,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7298,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7299,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7300,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7301,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7302,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7303,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7304,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7305,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7306,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7307,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7308,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7309,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7310,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7311,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7312,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7313,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7314,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7315,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7316,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7317,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7318,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7319,"When corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7320,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7321,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7322,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7323,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7324,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7325,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7326,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7327,"When zscore_corr(20d)(LLY US Equity:PX_LAST, NVDA US Equity:PX_LAST, 60d) surges unexpectedly and corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7328,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7329,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high and corr_delta(20d-60d)(CPI CHNG Index:PX_LAST, QQQ US Equity:PX_LAST) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S7330,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7331,"When zscore_corr(20d)(GLD US Equity:PX_LAST, USGG10YR Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S7332,"When corr(JOBS US Equity:PX_LAST, SPX Index:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
