C1,C2,C3
S1635,"When corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr_delta(20d-60d)(CONSSENT Index:PX_LAST, USSW10 Curncy:PX_LAST) is very high, it may indicate a bullish outlook.",DEPRECATED
S1806,"When corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S1764,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1779,"When corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly and zscore_corr(20d)(ARKK US Equity:PX_LAST, TSLA US Equity:PX_LAST, 60d) is very low and corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1809,"When corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high and zscore_corr(20d)(ARKK US Equity:PX_LAST, TSLA US Equity:PX_LAST, 60d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1727,"When corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1720,"When corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly, it may indicate a bearish outlook.",DEPRECATED
S1582,"When corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1744,"When corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1765,"When corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S1746,"When corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1778,"When beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1738,"When beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high and corr(AAPL US Equity:PX_LAST, MLCX3CRT Index:PX_LAST, 60d) is very low and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1721,"When corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly and corr(AAPL US Equity:PX_LAST, MLCX3CRT Index:PX_LAST, 60d) is very low and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1734,"When corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr(AAPL US Equity:PX_LAST, MLCX3CRT Index:PX_LAST, 60d) is very low and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1792,"When corr(AAPL US Equity:PX_LAST, MLCX3CRT Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply and beta(CPI CHNG Index:PX_LAST, NVDA US Equity:PX_LAST, 60d) is very high, it may indicate a bearish outlook.",DEPRECATED
S1768,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly and corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply, it may indicate a bullish outlook.",DEPRECATED
S1763,"When corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1726,"When corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1796,"When corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low, it may indicate a bullish outlook.",DEPRECATED
S1753,"When corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1745,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr_delta(20d-60d)(CONSSENT Index:PX_LAST, USSW10 Curncy:PX_LAST) is very high and corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low, it may indicate a bullish outlook.",DEPRECATED
S1804,"When corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and zscore_corr(20d)(ARKK US Equity:PX_LAST, TSLA US Equity:PX_LAST, 60d) is very low and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1742,"When corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bearish outlook.",DEPRECATED
S1797,"When corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(AAPL US Equity:PX_LAST, MLCX3CRT Index:PX_LAST, 60d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1761,"When corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S1799,"When corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S1723,"When corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high, it may indicate a bearish outlook.",DEPRECATED
S1735,"When corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1777,"When corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1780,"When corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high, it may indicate a bearish outlook.",DEPRECATED
S1774,"When corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1729,"When corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bearish outlook.",DEPRECATED
S1767,"When beta(INJCJC Index:PX_LAST, SPX Index:PX_LAST, 60d) is very low and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1740,"When corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high, it may indicate a bearish outlook.",DEPRECATED
S1752,"When corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply and corr_delta(20d-60d)(CONSSENT Index:PX_LAST, USSW10 Curncy:PX_LAST) is very high and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1732,"When corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and zscore_corr(20d)(ARKK US Equity:PX_LAST, TSLA US Equity:PX_LAST, 60d) is very low and corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1749,"When corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and corr(CPI YOY Index:PX_LAST, JOBS US Equity:PX_LAST, 20d) is very low and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1795,"When corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high and zscore_corr(20d)(ARKK US Equity:PX_LAST, TSLA US Equity:PX_LAST, 60d) is very low and corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1776,"When beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S1748,"When beta(CPI YOY Index:PX_LAST, FFA Comdty:PX_LAST, 60d) surges unexpectedly and corr(NFP TCH Index:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and beta(INJCJC Index:PX_LAST, XLK US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1759,"When corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S1743,"When corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply, it may indicate a bullish outlook.",DEPRECATED
S1787,"When corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly, it may indicate a bearish outlook.",DEPRECATED
S1733,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low, it may indicate a bullish outlook.",DEPRECATED
S1781,"When corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S1803,"When corr_delta(20d-60d)(FARBAST Index:PX_LAST, FFA Comdty:PX_LAST) surges unexpectedly and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S1800,"When corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and zscore_corr(20d)(ARKK US Equity:PX_LAST, TSLA US Equity:PX_LAST, 60d) is very low and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high, it may indicate a bearish outlook.",DEPRECATED
S1808,"When corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(NFP TCH Index:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bearish outlook.",DEPRECATED
S1772,"When corr_delta(20d-60d)(CONSSENT Index:PX_LAST, USSW10 Curncy:PX_LAST) is very high and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S1757,"When corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1755,"When corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high, it may indicate a bearish outlook.",DEPRECATED
S1783,"When corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly and beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low, it may indicate a bullish outlook.",DEPRECATED
S1770,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply, it may indicate a bullish outlook.",DEPRECATED
S1766,"When corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1798,"When corr(MLCX3CRT Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) surges unexpectedly and corr_delta(20d-60d)(CONSSENT Index:PX_LAST, USSW10 Curncy:PX_LAST) is very high and corr(NFP TCH Index:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low, it may indicate a bullish outlook.",DEPRECATED
S1750,"When corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1793,"When corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1722,"When corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high and zscore(PX_LAST, 60d)__USSW10 Curncy is very high and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S1773,"When corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1775,"When beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1725,"When corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and beta(CPI CHNG Index:PX_LAST, NVDA US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S1786,"When corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1789,"When corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and zscore_corr(20d)(ARKK US Equity:PX_LAST, TSLA US Equity:PX_LAST, 60d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1751,"When corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply and zscore_corr(20d)(ARKK US Equity:PX_LAST, TSLA US Equity:PX_LAST, 60d) is very low and corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1747,"When corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high and Yield Spread (10Y-2Y) surges unexpectedly and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low, it may indicate a bullish outlook.",DEPRECATED
S1756,"When corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply and corr_delta(20d-60d)(CONSSENT Index:PX_LAST, USSW10 Curncy:PX_LAST) is very high and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S1802,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(CONSSENT Index:PX_LAST, CPI CHNG Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S1788,"When corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and beta(BSPGCPUS Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high, it may indicate a bearish outlook.",DEPRECATED
S1724,"When corr(BSPGCPUS Index:PX_LAST, JOBS US Equity:PX_LAST, 60d) drops sharply and corr(AAPL US Equity:PX_LAST, MLCX3CRT Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bearish outlook.",DEPRECATED
S1791,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low and beta(LLY US Equity:PX_LAST, USSW10 Curncy:PX_LAST, 60d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1762,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly and corr(ARKK US Equity:PX_LAST, CPI YOY Index:PX_LAST, 20d) is very low and beta(CPI CHNG Index:PX_LAST, NVDA US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S1784,"When corr(AAPL US Equity:PX_LAST, MLCX3CRT Index:PX_LAST, 60d) is very low and corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and corr(BSPGCPUS Index:PX_LAST, SPCS20SM Index:PX_LAST, 20d) is very low, it may indicate a bearish outlook.",DEPRECATED
S1801,"When corr(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 20d) is very low and beta(INJCJC Index:PX_LAST, XLK US Equity:PX_LAST, 60d) drops sharply and corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1741,"When corr(NFP TCH Index:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply and corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bearish outlook.",DEPRECATED
S1790,"When corr(JOBS US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S1737,"When corr_delta(20d-60d)(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S1758,"When corr_delta(20d-60d)(FARBAST Index:PX_LAST, USGG10YR Index:PX_LAST) drops sharply, it may indicate a bearish outlook.",DEPRECATED
