setup_id,description,explained_description
S0460,"When zscore(PX_LAST, 30d)__LLY US Equity is very high and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0461,"When div(PUT_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high and corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high and beta(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S0462,"When corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and div(PUT_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high and zscore(PX_LAST, 30d)__LLY US Equity is very high, it may indicate a bullish outlook.",DEPRECATED
S0463,"When corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high and zscore(PX_LAST, 30d)__LLY US Equity is very high, it may indicate a bullish outlook.",DEPRECATED
S0464,"When beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and zscore_corr(20d)(INJCJC Index:PX_LAST, USGG10YR Index:PX_LAST, 60d) surges unexpectedly and beta(DXY Curncy:PX_LAST, SPX Index:PX_LAST, 60d) drops sharply, it may indicate a bullish outlook.",DEPRECATED
S0465,"When corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0466,"When beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and beta(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S0467,"When beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr(FARBAST Index:PX_LAST, FFA Comdty:PX_LAST, 20d) is very low and corr_delta(20d-60d)(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST) drops sharply, it may indicate a bearish outlook.",DEPRECATED
S0468,"When zscore(PX_LAST, 30d)__LLY US Equity is very high and corr_delta(20d-60d)(INJCJC Index:PX_LAST, JOBS US Equity:PX_LAST) is very low and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0470,"When zscore(PX_LAST, 30d)__LLY US Equity is very high and corr_delta(20d-60d)(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST) drops sharply and corr_delta(20d-60d)(FARBAST Index:PX_LAST, NVDA US Equity:PX_LAST) is very low, it may indicate a bearish outlook.",DEPRECATED
S0471,"When corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0472,"When corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and zscore_corr(20d)(INJCJC Index:PX_LAST, USGG10YR Index:PX_LAST, 60d) surges unexpectedly and zscore_CALL_IMP_VOL_30D_30d__XLF US Equity is very high, it may indicate a bullish outlook.",DEPRECATED
S0473,"When corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and corr_delta(20d-60d)(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST) drops sharply and corr_delta(20d-60d)(INJCJC Index:PX_LAST, JOBS US Equity:PX_LAST) is very low, it may indicate a bearish outlook.",DEPRECATED
S0474,"When corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and corr_delta(20d-60d)(LF94TRUU Index:PX_LAST, SPCSUSA Index:PX_LAST) surges unexpectedly and corr_delta(20d-60d)(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST) drops sharply, it may indicate a bullish outlook.",DEPRECATED
S0475,"When beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and div(PUT_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high and beta(CPI YOY Index:PX_LAST, USGG2YR Index:PX_LAST, 60d) is very low, it may indicate a bullish outlook.",DEPRECATED
S0476,"When corr_delta(20d-60d)(INJCJC Index:PX_LAST, JOBS US Equity:PX_LAST) is very low and corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high and zscore(PX_LAST, 30d)__LLY US Equity is very high, it may indicate a bullish outlook.",DEPRECATED
S0477,"When corr(FFA Comdty:PX_LAST, SPX Index:PX_LAST, 20d) is very high and zscore_CALL_IMP_VOL_30D_30d__XLF US Equity is very high and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0478,"When corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and zscore_corr(20d)(GLD US Equity:PX_LAST, MLCX3CRT Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S0479,"When beta(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST, 60d) is very high and zscore(PX_LAST, 30d)__LLY US Equity is very high, it may indicate a bullish outlook.",DEPRECATED
S0480,"When div(PUT_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high and corr_delta(20d-60d)(INJCJC Index:PX_LAST, JOBS US Equity:PX_LAST) is very low and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0481,"When beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and zscore(PX_LAST, 30d)__LLY US Equity is very high, it may indicate a bullish outlook.",DEPRECATED
S0484,"When corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and zscore(IVOL_SIGMA, 30d)__AAPL US Equity IN_HIGH_VOL is very high, it may indicate a bullish outlook.",DEPRECATED
S0486,"When corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr(FARBAST Index:PX_LAST, NVDA US Equity:PX_LAST, 20d) is very high, it may indicate a bullish outlook.",DEPRECATED
S0487,"When zscore_corr(20d)(FFA Comdty:PX_LAST, GLD US Equity:PX_LAST, 60d) is very high and beta(CPI YOY Index:PX_LAST, USGG2YR Index:PX_LAST, 60d) is very low and zscore(PX_LAST, 30d)__LLY US Equity is very high, it may indicate a bullish outlook.",DEPRECATED
S0488,"When beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0489,"When corr(LLY US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) is very high and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook.",DEPRECATED
S0490,"When corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and %B(PX_LAST, 20d)__NBIS US Equity is very high and beta(DXY Curncy:PX_LAST, SPX Index:PX_LAST, 60d) drops sharply, it may indicate a bullish outlook.",DEPRECATED
S0491,"When zscore(IVOL_SIGMA, 30d)__AAPL US Equity IN_HIGH_VOL is very high and corr_delta(20d-60d)(DXY Curncy:PX_LAST, XLE US Equity:PX_LAST) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0492,"When zscore(PX_LAST, 30d)__LLY US Equity is very high and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr_delta(20d-60d)(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST) drops sharply, it may indicate a bullish outlook.",DEPRECATED
S0493,"When zscore_corr(20d)(INJCJC Index:PX_LAST, USGG10YR Index:PX_LAST, 60d) surges unexpectedly and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and beta(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook.",DEPRECATED
S0494,"When beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 20d) is very high and zscore(PX_LAST, 30d)__LLY US Equity is very high, it may indicate a bullish outlook.",DEPRECATED
S0495,"When div(PUT_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high and corr_delta(20d-60d)(INJCJC Index:PX_LAST, JOBS US Equity:PX_LAST) is very low and zscore(IVOL_SIGMA, 30d)__AAPL US Equity IN_HIGH_VOL is very high, it may indicate a bullish outlook.",DEPRECATED
S0496,"When zscore(PX_LAST, 60d)__SPCSUSA Index is very high and beta(ARKK US Equity:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr_delta(20d-60d)(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST) drops sharply, it may indicate a bullish outlook.",DEPRECATED
S0497,"When beta(DXY Curncy:PX_LAST, SPY US Equity:PX_LAST, 60d) is very high and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
S0498,"When corr_delta(20d-60d)(NVDA US Equity:PX_LAST, SPCSUSA Index:PX_LAST) drops sharply and zscore(PX_LAST, 30d)__LLY US Equity is very high and corr(LLY US Equity:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook.",DEPRECATED
